set,id,number,name,faction,type,description,glory,restricted,set
Shadespire,20,20,Berserk Charge,Garrek's Reavers,Upgrade,Both Sword and Hammer symbols are successes when this fighter makes a Charge action,-,Blooded Saek,Core set
Shadespire,21,21,Bloodslick,Garrek's Reavers,Upgrade,+1 Defence,-,Garrek Gorebeard,Core set
Shadespire,22,22,Deadly Spin,Garrek's Reavers,Upgrade,[1 Hex | 3 Sword | 1 Damage] Targets adjacent enemy fighters - roll for each,-,Targor,Core set
Shadespire,23,23,Ever-Advancing,Garrek's Reavers,Upgrade,"Reaction: When this fighter could be driven back during an Attack action (whether or not your opponent chooses to do so), you can instead push them one hex",-,Garrek Gorebeard,Core set
Shadespire,24,24,Frenzy,Garrek's Reavers,Upgrade,Roll an extra attack dice when this fighter makes a Charge action,-,-,Core set
Shadespire,25,25,Grisly Trophy,Garrek's Reavers,Upgrade,"When this fighter takes an enemy fighter out of action, gain 1 additional glory point",-,Garrek Gorebeard,Core set
Shadespire,26,26,Terrifying Howl,Garrek's Reavers,Upgrade,Action: Push each adjacent enemy fighter one hex,-,Karsus the Chained,Core set
Shadespire,27,27,Unstoppable Charge,Garrek's Reavers,Upgrade,"When this fighter makes a Charge action they can move through other fighters, but their move must end in an empty hex",-,Blooded Saek,Core set
Shadespire,28,28,Whirlwind of Death,Garrek's Reavers,Upgrade,+1 Damage to all Attack actions with a Range of 1 or 2,-,Karsus the Chained,Core set
Shadespire,29,29,Wicked Blade,Garrek's Reavers,Upgrade,[1 Hex | 3 Sword | 2 Damage] If you roll at least one Crit this Attack action has Cleave,-,Arnulf,Core set
Shadespire,30,30,Awe-Inspiring,Steelheart's Champions,Objective,Score this immediately if your warband has taken two or more fighters out of action in this phase,1,-,Core set
Shadespire,31,31,Cleanse,Steelheart's Champions,Objective,Score this in an end phase if you hold all objectives in enemy territory,3,-,Core set
Shadespire,32,32,Consecrated Area,Steelheart's Champions,Objective,Score this in an end phase if  there are no enemy fighters adjacent to your fighters,1,-,Core set
Shadespire,33,33,Eternals,Steelheart's Champions,Objective,Score this in the third end phase if none of your fighters are out of action,3,-,Core set
Shadespire,34,34,Immovable Object,Steelheart's Champions,Objective,Score this in an end phase if  the same friendly fighter has held the same objective at the end of two consecutive action phases,1,-,Core set
Shadespire,35,35,Lightning Strikes,Steelheart's Champions,Objective,Score this immediately if an enemy fighter is taken out of action by a Charge action made by one of your fighters,1,-,Core set
Shadespire,36,36,Seize Ground,Steelheart's Champions,Objective,Score this in an end phase if  you hold an objective in enemy territory,1,-,Core set
Shadespire,37,37,Sigmar's Bulwark,Steelheart's Champions,Objective,Score this in an end phase if none of your fighters suffered any damage in the preceding action phase,1,-,Core set
Shadespire,38,38,Slayers of Tyrants,Steelheart's Champions,Objective,Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase,1,-,Core set
Shadespire,39,39,Heroic Guard,Steelheart's Champions,Ploy,Choose a friendly fighter and put them on Guard,-,-,Core set
Shadespire,40,40,Peal of Thunder,Steelheart's Champions,Ploy,Choose any enemy fighter and push them one hex in any direction,-,-,Core set
Shadespire,41,41,Righteous Zeal,Steelheart's Champions,Ploy,+1 Damage to the first Attack action with a Range of 1 or 2 in the next activation,-,-,Core set
Shadespire,42,42,Sigmarite Wall,Steelheart's Champions,Ploy,Choose two adjacent friendly fighters and put them on Guard,-,-,Core set
Shadespire,43,43,Stormforged Resistance,Steelheart's Champions,Ploy,Friendly fighters cannot be driven back by the first Attack action in the next activation,-,-,Core set
Shadespire,44,44,Stormforged Tactics,Steelheart's Champions,Ploy,"In the next activation make the following Reaction. Reaction: After an enemy fighter's Attack action that fails, choose up to two friendly fighters and push them up to one hex each",-,-,Core set
Shadespire,45,45,Tireless Assault,Steelheart's Champions,Ploy,Reaction: Play this after a friendly fighter's Attack action that fails. That fighter can make another Attack action that targets the same fighter,-,-,Core set
Shadespire,46,46,Undaunted,Steelheart's Champions,Ploy,Reaction: Play this after an Attack action or ploy that takes a friendly fighter out of action leaving one surviving friendly fighter on the battlefield. Remove all wound tokens from the surviving fighter,-,-,Core set
Shadespire,47,47,Unstoppable Strike,Steelheart's Champions,Ploy,The first Attack action in the next activation gains Cleave,-,-,Core set
Shadespire,48,48,Valiant Attack,Steelheart's Champions,Ploy,Enemy fighters cannot support the target of the first Attack action in the next activation,-,-,Core set
Shadespire,49,49,Blessed by Sigmar,Steelheart's Champions,Upgrade,+1 Wounds,-,-,Core set
Shadespire,50,50,Block,Steelheart's Champions,Upgrade,Action: This fighter and all adjacent friendly fighters go on Guard,-,Angharad Brightshield,Core set
Shadespire,51,51,Brave Strike,Steelheart's Champions,Upgrade,[1 Hex | 2 Hammer | 2 Damage] Roll an extra attack dice if there are no adjacent friendly fighters,-,Obryn the Bold,Core set
Shadespire,52,52,Fatal Riposte,Steelheart's Champions,Upgrade,"Reaction: During an Attack action that targets this fighter and fails, roll an attack dice. On a roll of Hammer or Crit this fighter cannot be driven back and they can make an Attack action. It must target the attacker.",-,Severin Steelheart,Core set
Shadespire,53,53,Heroic Might,Steelheart's Champions,Upgrade,This fighter's Attack action gains Cleave,-,"Severin Steelheart, Obryn the Bold",Core set
Shadespire,54,54,Heroic Stride,Steelheart's Champions,Upgrade,"Reaction: After an enemy fighter ends their activation within two hexes of this fighter, you can push this fighter one hex",-,Severin Steelheart,Core set
Shadespire,55,55,Lightning Blade,Steelheart's Champions,Upgrade,"[2 Hex | 2 Hammer | 1 Damage] On a critical hit, this Attack action has +1 Damage",-,Severin Steelheart,Core set
Shadespire,56,56,Lightning Blast,Steelheart's Champions,Upgrade,"When they make a critical hit, this fighter also inflicts 1 damage on enemy fighters adjacent to the target's hex",-,Obryn the Bold,Core set
Shadespire,57,57,Righteous Strike,Steelheart's Champions,Upgrade,"[1 Hex | 3 Hammer | 2 Damage] Reaction: After this Attack action, if it failed and the target was an enemy leader, make this Attack action again",-,Angharad Brightshield,Core set
Shadespire,58,58,Shield Bash,Steelheart's Champions,Upgrade,"Reaction: During an adjacent fighter's Attack action that targets this fighter and fails, this fighter cannot be driven back and you can push their attacker one hex",-,Angharad Brightshield,Core set
Shadespire,59,59,Battle Without End,Sepulchral Guard,Objective,Score this in an end phase if two or more friendly fighters returned to the battlefield in the preceding action phase,1,-,Sepulchral Guard expansion
Shadespire,60,60,Claim the City,Sepulchral Guard,Objective,Score this in an end phase if  you hold every objective,5,-,Sepulchral Guard expansion
Shadespire,61,61,Fearless in Death,Sepulchral Guard,Objective,Score this in an end phase if there is only one friendly fighter on the battlefield,1,-,Sepulchral Guard expansion
Shadespire,62,62,March of the Dead,Sepulchral Guard,Objective,Score this in an end phase if all of your surviving fighters (at least five) made a Move action in the preceding action phase,2,-,Sepulchral Guard expansion
Shadespire,63,63,More Able Bodies,Sepulchral Guard,Objective,Score this in an end phase if your warband took two or more enemy fighters out of action in the preceding action phase,1,-,Sepulchral Guard expansion
Shadespire,64,64,Peerless General,Sepulchral Guard,Objective,"Score this in the third end phase if you have four or more surviving fighters, and none are Inspired",3,-,Sepulchral Guard expansion
Shadespire,65,65,Skills Unforgotten,Sepulchral Guard,Objective,Score this immediately if your leader takes an enemy fighter out of action,1,-,Sepulchral Guard expansion
Shadespire,66,66,The Invigorated Dead,Sepulchral Guard,Objective,Score this in the third end phase if all of your surviving fighters (at least three) are Inspired,1,-,Sepulchral Guard expansion
Shadespire,67,67,Undead Swarm,Sepulchral Guard,Objective,Score this in an end phase if each enemy fighter is adjacent to at least two friendly fighters,1,-,Sepulchral Guard expansion
Shadespire,68,68,Bone Shrapnel,Sepulchral Guard,Ploy,Reaction: Play this after an Attack action that takes a friendly fighter out of action. The fighter that took them out of action suffers 1 damage,-,-,Sepulchral Guard expansion
Shadespire,69,69,Ceaseless Attacks,Sepulchral Guard,Ploy,Reaction: Play this after a friendly fighter's Attack action. Make an Attack action with another friendly fighter,-,-,Sepulchral Guard expansion
Shadespire,70,70,Clawing Hands,Sepulchral Guard,Ploy,Each friendly fighter that is not on the battlefield is considered to be supporting the first Attack action in the next activation,-,-,Sepulchral Guard expansion
Shadespire,71,71,Danse Macabre,Sepulchral Guard,Ploy,Any friendly fighters that make a Move action in the next activation can move one additional hex,-,-,Sepulchral Guard expansion
Shadespire,72,72,Grasping Hands,Sepulchral Guard,Ploy,"Reduce the Move characteristic of the first fighter to be activated in the next activation by the number of friendly fighters that are not on the battlefield, to a minimum of 0",-,-,Sepulchral Guard expansion
Shadespire,73,73,Restless Dead,Sepulchral Guard,Ploy,Place a friendly fighter that was taken out of action (other than the Sepulchral Warden) on a starting hex in your territory,-,-,Sepulchral Guard expansion
Shadespire,74,74,Spectral Form,Sepulchral Guard,Ploy,"Any friendly fighters that make a Move action in the next activation can move through additional fighters, but must end their moves on empty hexes",-,-,Sepulchral Guard expansion
Shadespire,75,75,Swift Evasion,Sepulchral Guard,Ploy,Choose one friendly fighter and push them up to two hexes. Their new position must be further away from all enemy fighters,-,-,Sepulchral Guard expansion
Shadespire,76,76,Terrifying Screams,Sepulchral Guard,Ploy,Choose an enemy fighter and push them one hex,-,-,Sepulchral Guard expansion
Shadespire,77,77,The Necromancer Commands,Sepulchral Guard,Ploy,Reaction: Play this after a friendly fighter's Attack action that fails. Make the Attack action again,-,-,Sepulchral Guard expansion
Shadespire,78,78,Ancient Commander,Sepulchral Guard,Upgrade,Action: Choose three other friendly fighters. Make Move actions with these fighters. This does not allow a fighter to move twice in a phase,-,The Sepulchral Warden,Sepulchral Guard expansion
Shadespire,79,79,Assumed Command,Sepulchral Guard,Upgrade,Each friendly fighter that supports this fighter is considered to be two supporting fighters,-,The Prince of Dust,Sepulchral Guard expansion
Shadespire,80,80,Deathly Charge,Sepulchral Guard,Upgrade,This fighter's Attack actions with a Range of 1 or 2 have +1 Damage in a phase in which they make a Charge action,-,The Champion,Sepulchral Guard expansion
Shadespire,81,81,Fatal Strike,Sepulchral Guard,Upgrade,"[1 Hex | 2 Hammer | 2 Damage] Reaction: Make this Attack action during an Attack action that takes this fighter out of action, before they are removed from the battlefield. It must target their attacker",-,The Champion,Sepulchral Guard expansion
Shadespire,82,82,Focused Attack,Sepulchral Guard,Upgrade,[1 Hex | 2 Hammer | 2 Damage] If you roll at least one Crit this Attack action has Cleave,-,The Harvester,Sepulchral Guard expansion
Shadespire,83,83,Frightening Speed,Sepulchral Guard,Upgrade,+2 Move,-,"The Harvester, The Champion, The Prince of Dust",Sepulchral Guard expansion
Shadespire,84,84,Grim Cleave,Sepulchral Guard,Upgrade,This fighter's Attack actions gain Cleave,-,The Harvester,Sepulchral Guard expansion
Shadespire,85,85,Lethal Lunge,Sepulchral Guard,Upgrade,[2 Hex | 2 Hammer | 3 Damage] Cleave,-,-,Sepulchral Guard expansion
Shadespire,86,86,Remembered Shield,Sepulchral Guard,Upgrade,This fighter's Defence characteristic changes to Shield,-,"The Sepulchral Warden, The Prince of Dust, Petitioners",Sepulchral Guard expansion
Shadespire,87,87,Undying,Sepulchral Guard,Upgrade,+1 Wounds,-,-,Sepulchral Guard expansion
Shadespire,88,88,'Ard as Iron,Ironskull's Boyz,Objective,Score this in the third end phase if none of your fighters are out of action,3,-,Ironskull's Boyz expansion
Shadespire,89,89,Biggest an' da Best,Ironskull's Boyz,Objective,Score this in an end phase if your leader took an enemy fighter out of action in the preceding action phase,1,-,Ironskull's Boyz expansion
Shadespire,90,90,Call of the Waaagh!,Ironskull's Boyz,Objective,Score this immediately if three or more of your fighters made a Charge action this phase,1,-,Ironskull's Boyz expansion
Shadespire,91,91,Dead Kunnin',Ironskull's Boyz,Objective,Score this immediately if a friendly fighter has two more supporting fighters than their target when making an Attack action,1,-,Ironskull's Boyz expansion
Shadespire,92,92,Dere's More of Us,Ironskull's Boyz,Objective,Score this in an end phase if you have more fighters on the battlefield than your opponent,1,-,Ironskull's Boyz expansion
Shadespire,93,93,Get Da Boss,Ironskull's Boyz,Objective,Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase,1,-,Ironskull's Boyz expansion
Shadespire,94,94,Good Scrap,Ironskull's Boyz,Objective,Score this in an end phase if three or more fighters were taken out of action in the preceding action phase,2,-,Ironskull's Boyz expansion
Shadespire,95,95,Punch-Up,Ironskull's Boyz,Objective,Score this in an end phase if each of your surviving fighters (at least two) made an Attack action against a different enemy fighter in the preceding action phase,2,-,Ironskull's Boyz expansion
Shadespire,96,96,Too Dumb to Die,Ironskull's Boyz,Objective,Score this immediately if a friendly fighter suffers 3 or more damage in a single attack and is not take out of action,1,-,Ironskull's Boyz expansion
Shadespire,97,97,'Avin' a Good Time,Ironskull's Boyz,Ploy,Choose a fighter and roll an attack dice. If you roll a Hammer or Crit the can make an Attack action,-,-,Ironskull's Boyz expansion
Shadespire,98,98,Brutal But Kunnin',Ironskull's Boyz,Ploy,Reaction: Play this after a friendly fighter's Attack action. You can push that fighter up to three hexes,-,-,Ironskull's Boyz expansion
Shadespire,99,99,Deafening Bellow,Ironskull's Boyz,Ploy,Choose an enemy fighter adjacent to one of your fighters. Push that fighter one hex,-,-,Ironskull's Boyz expansion
Shadespire,100,100,Gorkamorka's Blessing,Ironskull's Boyz,Ploy,The first Attack action with a Range of 1 or 2 in the next activation has +1 Damage,-,-,Ironskull's Boyz expansion
Shadespire,101,101,Kunnin' But Brutal,Ironskull's Boyz,Ploy,Reaction: Play this after a friendly fighter's Move action. That fighter can make an Attack action. You cannot play this during a Charge action,-,-,Ironskull's Boyz expansion
Shadespire,102,102,Last Lunge,Ironskull's Boyz,Ploy,"Reaction: Play this during an Attack action or ploy that will take a friendly fighter out of action, before removing them from the battlefield. Roll an attack dice. On a roll of Hammer or Crit make an Attack action with that fighter. It must target the attacker",-,-,Ironskull's Boyz expansion
Shadespire,103,103,Leadin' By Example,Ironskull's Boyz,Ploy,Reaction: Play this after an Attack action made by your leader that takes an enemy fighter out of action. Another friendly fighter that has not already made a Move or Charge action can make a Charge action,-,-,Ironskull's Boyz expansion
Shadespire,104,104,More Choppin',Ironskull's Boyz,Ploy,Roll an extra attack dice for the first Attack action in the next activation,-,-,Ironskull's Boyz expansion
Shadespire,105,105,Pillage,Ironskull's Boyz,Ploy,Remove one objective that you hold from the battlefield,-,-,Ironskull's Boyz expansion
Shadespire,106,106,Scrag 'Em,Ironskull's Boyz,Ploy,Each friendly fighter that supports the first Attack action in the next activation is considered to be two supporting fighters,-,-,Ironskull's Boyz expansion
Shadespire,107,107,'Ard Head,Ironskull's Boyz,Upgrade,"When this fighter suffers damage, reduce that damage by 1 to a minimum of 1",-,"Hakka, Basha",Ironskull's Boyz expansion
Shadespire,108,108,Aspiring Boss,Ironskull's Boyz,Upgrade,"Reaction: During an Attack action by this fighter that targets an enemy leader and fails, you can re-roll one attack dice",-,Hakka,Ironskull's Boyz expansion
Shadespire,109,109,Brutal Frenzy,Ironskull's Boyz,Upgrade,Roll an extra attack dice when this fighter makes a Charge action,-,"Hakka, Basha",Ironskull's Boyz expansion
Shadespire,110,110,Brutal Swing,Ironskull's Boyz,Upgrade,[1 Hex | 3 Sword | 2 Damage] Targets all adjacent enemy fighters - roll for each,-,Bonekutta,Ironskull's Boyz expansion
Shadespire,111,111,Crush and Cleave,Ironskull's Boyz,Upgrade,This fighter's Attack actions gain Cleave,-,"Gurzag Ironskull, Bonekutta",Ironskull's Boyz expansion
Shadespire,112,112,Dead 'Ard,Ironskull's Boyz,Upgrade,This fighter can only be driven back by a critical hit,-,"Gurzag Ironskull, Bonekutta",Ironskull's Boyz expansion
Shadespire,113,113,'Eadbutt,Ironskull's Boyz,Upgrade,"[1 Hex | 2 Hammer | 2 Damage] If this Attack action succeeds, the target cannot be activated for the rest of the phase",-,Gurzag Ironskull,Ironskull's Boyz expansion
Shadespire,114,114,Headlong Rush,Ironskull's Boyz,Upgrade,This fighter's Attack actions gain Knockback 1 in a phase in which they make a Charge action,-,Basha,Ironskull's Boyz expansion
Shadespire,115,115,Unkillable,Ironskull's Boyz,Upgrade,"Reaction: During an Attack action or ploy that takes this fighter out of action, roll a defence dice. If you roll a Shield or Crit they suffer no damage and are not taken out of action, and you discard this upgrade",-,Gurzag Ironskull,Ironskull's Boyz expansion
Shadespire,116,116,Waaagh!,Ironskull's Boyz,Upgrade,This fighter's Attack actions with a Range of 1 or 2 have +1 Damage in a phase in which they make a Charge action,-,-,Ironskull's Boyz expansion
Shadespire,117,117,A Claim Retaken,The Chosen Axes,Objective,Score this in an end phase if a friendly fighter holds an objective that an enemy fighter held at the beginning of the preceding action phase,2,-,The Chosen Axes expansion
Shadespire,118,118,A Grim Promise,The Chosen Axes,Objective,Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase,1,-,The Chosen Axes expansion
Shadespire,119,119,Ferocious Charge,The Chosen Axes,Objective,Score this immediately if a friendly fighter takes an enemy figther out of action with a Charge action,1,-,The Chosen Axes expansion
Shadespire,120,120,For the Ur-gold,The Chosen Axes,Objective,Score this in an end phase if all your surviving fighters (at least three) are Inspired,1,-,The Chosen Axes expansion
Shadespire,121,121,Fury of the Lodge,The Chosen Axes,Objective,Score this in an end phase if all of your surviving fighters (at least three) made a Charge action in the preceding action phase,1,-,The Chosen Axes expansion
Shadespire,122,122,Hoarders,The Chosen Axes,Objective,Score this in an end phase if all of your fighters and no enemy fighters are holding objectives,2,-,The Chosen Axes expansion
Shadespire,123,123,Oaths Still to Fulfil,The Chosen Axes,Objective,Score this in the third end phase if none of your fighters are out of action,3,-,The Chosen Axes expansion
Shadespire,124,124,Scion of Grimnir,The Chosen Axes,Objective,Score this immediately if your leader takes an enemy fighter out of action,1,-,The Chosen Axes expansion
Shadespire,125,125,Unstoppable Advance,The Chosen Axes,Objective,Score this in an end phase if all of your surviving fighters are in enemy territory,2,-,The Chosen Axes expansion
Shadespire,126,126,Berserk Fury,The Chosen Axes,Ploy,"The first time a friendly fighter suffers damage in the next activation, roll a defence dice. If the result is a Shield they suffer no damage",-,-,The Chosen Axes expansion
Shadespire,127,127,Indomitable,The Chosen Axes,Ploy,"The first time a friendly fighter suffers damage in the next activation, they only suffer 1 damage",-,-,The Chosen Axes expansion
Shadespire,128,128,Living Wall,The Chosen Axes,Ploy,Choose two friendly fighters and push each of them up to one hex. They must end up adjacent to one another,-,-,The Chosen Axes expansion
Shadespire,129,129,Oathsworn,The Chosen Axes,Ploy,Reaction: Play this after a friendly fighter's Attack action that fails. That fighter can make another Attack action that targets the same fighter,-,-,The Chosen Axes expansion
Shadespire,130,130,Piercing Stare,The Chosen Axes,Ploy,Choose an enemy fighter. They cannot make an Attack action or a Charge action in the next activation,-,-,The Chosen Axes expansion
Shadespire,131,131,Slaying Blow,The Chosen Axes,Ploy,"If the first Attack action in the next activation is a critical hit, double its Damage characteristic",-,-,The Chosen Axes expansion
Shadespire,132,132,The Earth Shakes,The Chosen Axes,Ploy,Choose a fighter and push them one hex,-,-,The Chosen Axes expansion
Shadespire,133,133,Treasure-lust,The Chosen Axes,Ploy,Choose a friendly fighter and push them up to three hexes. They must end up holding an objective,-,-,The Chosen Axes expansion
Shadespire,134,134,Ur-gold Boon,The Chosen Axes,Ploy,Choose a friendly fighter and roll a defence dice. On a roll of Shield or Crit remove up to two wound tokens from them. Otherwise remove one wound token from them,-,-,The Chosen Axes expansion
Shadespire,135,135,We Shall Not Be Moved,The Chosen Axes,Ploy,Friendly fighters holding objectives cannot be driven back by the first Attack action in the next activation,-,-,The Chosen Axes expansion
Shadespire,136,136,Activated Runes,The Chosen Axes,Upgrade,"Each time this fighter make an Attack action, you can re-roll one dice",-,-,The Chosen Axes expansion
Shadespire,137,137,Brute Strength,The Chosen Axes,Upgrade,This fighter's Attack actions gain Knockback 1,-,Tefk Flamebearer,The Chosen Axes expansion
Shadespire,138,138,Defiant Strike,The Chosen Axes,Upgrade,"[1 Hex | 3 Sword | 1 Damage] Reaction: During an Attack action that succeeds against this fighter, this fighter cannot be driven back and makes this Attack action. It must target the attacker",-,Tefk Flamebearer,The Chosen Axes expansion
Shadespire,139,139,Flurry of Blows,The Chosen Axes,Upgrade,[1 Hex | 3 Sword | 2 Damage],-,Mad Maegrim,The Chosen Axes expansion
Shadespire,140,140,Great Swing,The Chosen Axes,Upgrade,[1 Hex | 2 Sword | 2 Damage] Targets all adjacent enemy fighters - roll for each,-,Vol Orrukbane,The Chosen Axes expansion
Shadespire,141,141,Grimnir's Blessing,The Chosen Axes,Upgrade,"Reaction: During an Attack action or ploy that would take this fighter out of action, roll a defence dice. If you roll a Shield the damage suffered by this fighter is ignored",-,Fjul-Grimnir,The Chosen Axes expansion
Shadespire,142,142,Grimnir's Fortitude,The Chosen Axes,Upgrade,+1 Defence,-,Fjul-Grimnir,The Chosen Axes expansion
Shadespire,143,143,Grimnir's Speed,The Chosen Axes,Upgrade,+2 Move,-,Fjul-Grimnir,The Chosen Axes expansion
Shadespire,144,144,Returning Axe,The Chosen Axes,Upgrade,[3 Hex | 2 Sword | 1 Damage] On a critical hit this Attack action has +1 Damage,-,Mad Maegrim,The Chosen Axes expansion
Shadespire,145,145,War Song,The Chosen Axes,Upgrade,"This fighter is considered to be two supporting fighters when they support, rather than one",-,Vol Orrukbane,The Chosen Axes expansion
Shadespire,146,146,Arm's Length,Spiteclaw's Swarm,Objective,Score this immediately if your warband takes an enemy fighter out of action while they are adjacent to none of your fighters,1,-,Spiteclaw's Swarm expansion
Shadespire,147,147,"Brilliant, Brilliant!",Spiteclaw's Swarm,Objective,Score this in an end phase if you scored two or more other objective cards in the preceding action phase,1,-,Spiteclaw's Swarm expansion
Shadespire,148,148,Feast-feast,Spiteclaw's Swarm,Objective,Score this in an end phase if all enemy fighters have been taken out of action,3,-,Spiteclaw's Swarm expansion
Shadespire,149,149,Honed Survival Instincts,Spiteclaw's Swarm,Objective,Score this in an end phase if no friendly figther was taken out of action in the preceding action phase,1,-,Spiteclaw's Swarm expansion
Shadespire,150,150,Leading from the Back,Spiteclaw's Swarm,Objective,Score this in the third end phase if your leader is in your territory and not adjacent to an enemy,1,-,Spiteclaw's Swarm expansion
Shadespire,151,151,Live to Fight Another Day,Spiteclaw's Swarm,Objective,Score this in the third end phase if the only surviving friendly fighter is your leader,2,-,Spiteclaw's Swarm expansion
Shadespire,152,152,Lives are Cheap,Spiteclaw's Swarm,Objective,Score this in an end phase if two or more friendly fighters were taken out of action in the preceding action phase,1,-,Spiteclaw's Swarm expansion
Shadespire,153,153,Numberless Swarm,Spiteclaw's Swarm,Objective,Score this in the third end phase if there are five friendly fighters on the battledfield,1,-,Spiteclaw's Swarm expansion
Shadespire,154,154,"Skritch is the Greatest, Yes-yes",Spiteclaw's Swarm,Objective,Score this immediately if your leader takes an enemy fighter out of action,1,-,Spiteclaw's Swarm expansion
Shadespire,155,155,Aversion to Death,Spiteclaw's Swarm,Ploy,Reaction: Play this after an Attack action that takes a friendly fighter out of action. Push up to two friendly fighters one hex each,-,-,Spiteclaw's Swarm expansion
Shadespire,156,156,Frenzied Stabbing,Spiteclaw's Swarm,Ploy,The first Attack action with a Range of 1 or 2 in the next activation has +1 Damage,-,-,Spiteclaw's Swarm expansion
Shadespire,157,157,Heightened Caution,Spiteclaw's Swarm,Ploy,Roll an extra defence dice for the first friendly fighter to be targeted by an Attack action in the next activation,-,-,Spiteclaw's Swarm expansion
Shadespire,158,158,Momentary Boldness,Spiteclaw's Swarm,Ploy,Choose a friendly fighter adjacent to two or more friendly fighters. That fighter makes a Charge action,-,-,Spiteclaw's Swarm expansion
Shadespire,159,159,Musk of Fear,Spiteclaw's Swarm,Ploy,Choose a friendly fighter and put them on Guard,-,-,Spiteclaw's Swarm expansion
Shadespire,160,160,Nervous Scrabbling,Spiteclaw's Swarm,Ploy,Choose a friendly fighter. They switch places with any adjacent fighter,-,-,Spiteclaw's Swarm expansion
Shadespire,161,161,Scratching in the Shadows,Spiteclaw's Swarm,Ploy,Choose an enemy fighter and push them one hex,-,-,Spiteclaw's Swarm expansion
Shadespire,162,162,Skaven Courage,Spiteclaw's Swarm,Ploy,Play this if there are at least three friendly fighters adjacent to the same enemy fighter. One of those friendly fighters can make an Attack action,-,-,Spiteclaw's Swarm expansion
Shadespire,163,163,Sudden Skittering,Spiteclaw's Swarm,Ploy,"Double the Move characteristic of the first friendly fighter to make a Move action in the next activation. They may not make a Charge action. Once they have moved, they cannot be activated again this phase",-,-,Spiteclaw's Swarm expansion
Shadespire,164,164,There Are Always More,Spiteclaw's Swarm,Ploy,Choose one friendly fighter that is out of action (other than Skritch or Krrk). Remove all wound tokens from them and place them on any starting hex,-,-,Spiteclaw's Swarm expansion
Shadespire,165,165,Black Hunger,Spiteclaw's Swarm,Upgrade,"This fighter's Attack actions with a Range of 1 have +1 Damage, and target all adjacent fighters (friend and foe) - roll for each. Fighters do not provide support for Attack actions against friendly models (in attack or defence)",-,Hungering Skaven,Spiteclaw's Swarm expansion
